MEDELLIN,5001,1
ABEJORRAL,5002,1
ABRIAQUI,5004,1
ALEJANDRIA,5021,1
AMAGA,5030,1
AMALFI,5031,1
ANDES,5034,1
ANGELOPOLIS,5036,1
ANGOSTURA,5038,1
ANORI,5040,1
SANTAFE DE ANTIOQUIA,5042,1
ANZA,5044,1
APARTADO,5045,1
ARBOLETES,5051,1
ARGELIA,5055,1
ARMENIA,5059,1
BARBOSA,5079,1
BELMIRA,5086,1
BELLO,5088,1
BETANIA,5091,1
BETULIA,5093,1
CIUDAD BOLIVAR,5101,1
BRICEÑO,5107,1
BURITICA,5113,1
CACERES,5120,1
CAICEDO,5125,1
CALDAS,5129,1
CAMPAMENTO,5134,1
CAÑASGORDAS,5138,1
CARACOLI,5142,1
CARAMANTA,5145,1
CAREPA,5147,1
EL CARMEN DE VIBORAL,5148,1
CAROLINA,5150,1
CAUCASIA,5154,1
CHIGORODO,5172,1
CISNEROS,5190,1
COCORNA,5197,1
CONCEPCION,5206,1
CONCORDIA,5209,1
COPACABANA,5212,1
DABEIBA,5234,1
DON MATIAS,5237,1
EBEJICO,5240,1
EL BAGRE,5250,1
ENTRERRIOS,5264,1
ENVIGADO,5266,1
FREDONIA,5282,1
FRONTINO,5284,1
GIRALDO,5306,1
GIRARDOTA,5308,1
GOMEZ PLATA,5310,1
GRANADA,5313,1
GUADALUPE,5315,1
GUARNE,5318,1
GUATAPE,5321,1
HELICONIA,5347,1
HISPANIA,5353,1
ITAGÜI,5360,1
ITUANGO,5361,1
JARDIN,5364,1
JERICO,5368,1
LA CEJA,5376,1
LA ESTRELLA,5380,1
LA PINTADA,5390,1
LA UNION,5400,1
LIBORINA,5411,1
MACEO,5425,1
MARINILLA,5440,1
MONTEBELLO,5467,1
MURINDO,5475,1
MUTATA,5480,1
NARIÑO,5483,1
NECOCLI,5490,1
NECHI,5495,1
OLAYA,5501,1
PEÑOL,5541,1
PEQUE,5543,1
PUEBLORRICO,5576,1
PUERTO BERRIO,5579,1
PUERTO NARE,5585,1
PUERTO TRIUNFO,5591,1
REMEDIOS,5604,1
RETIRO,5607,1
RIONEGRO,5615,1
SABANALARGA,5628,1
SABANETA,5631,1
SALGAR,5642,1
SAN ANDRES,5647,1
SAN CARLOS,5649,1
SAN FRANCISCO,5652,1
SAN JERONIMO,5656,1
SAN JOSE DE LA MONTAÑA,5658,1
SAN JUAN DE URABA,5659,1
SAN LUIS,5660,1
SAN PEDRO,5664,1
SAN PEDRO DE URABA,5665,1
SAN RAFAEL,5667,1
SAN ROQUE,5670,1
SAN VICENTE,5674,1
SANTA BARBARA,5679,1
SANTA ROSA DE OSOS,5686,1
SANTO DOMINGO,5690,1
EL SANTUARIO,5697,1
SEGOVIA,5736,1
SONSON,5756,1
SOPETRAN,5761,1
TAMESIS,5789,1
TARAZA,5790,1
TARSO,5792,1
TITIRIBI,5809,1
TOLEDO,5819,1
TURBO,5837,1
URAMITA,5842,1
URRAO,5847,1
VALDIVIA,5854,1
VALPARAISO,5856,1
VEGACHI,5858,1
VENECIA,5861,1
VIGIA DEL FUERTE,5873,1
YALI,5885,1
YARUMAL,5887,1
YOLOMBO,5890,1
YONDO,5893,1
ZARAGOZA,5895,1
BARRANQUILLA,8001,1
BARANOA,8078,1
CAMPO DE LA CRUZ,8137,1
CANDELARIA,8141,1
GALAPA,8296,1
JUAN DE ACOSTA,8372,1
LURUACO,8421,1
MALAMBO,8433,1
MANATÍ,8436,1
PALMAR DE VARELA,8520,1
PIOJÓ,8549,1
POLONUEVO,8558,1
PONEDERA,8560,1
PUERTO COLOMBIA,8573,1
REPELÓN,8606,1
SABANAGRANDE,8634,1
SABANALARGA,8638,1
SANTA LUCÍA,8675,1
SANTO TOMAS,8685,1
SOLEDAD,8758,1
SUAN,8770,1
TUBARÁ,8832,1
USIACURÍ,8849,1
BOGOTÁ D.C.,11001,2
CARTAGENA,13001,3
ACHÍ,13006,3
ALTOS DEL ROSARIO,13030,3
ARENAL,13042,3
ARJONA,13052,3
ARROYOHONDO,13062,3
BARRANCO DE LOBA,13074,3
CALAMAR,13140,3
CANTAGALLO,13160,3
CICUCO,13188,3
CÓRDOBA,13212,3
CLEMENCIA,13222,3
EL CARMEN DE BOLÍVAR,13244,3
EL GUAMO,13248,3
EL PEÑÓN,13268,3
HATILLO DE LOBA,13300,3
MAGANGUÉ,13430,3
MAHATES,13433,3
MARGARITA,13440,3
MARÍA LA BAJA,13442,3
MONTECRISTO,13458,3
MOMPÓS,13468,3
MORALES,13473,3
NOROSI,13490,3
PINILLOS,13549,3
REGIDOR,13580,3
RÍO VIEJO,13600,3
SAN CRISTOBAL,13620,3
SAN ESTANISLAO,13647,3
SAN FERNANDO,13650,3
SAN JACINTO,13654,3
SAN JACINTO DEL CAUCA,13655,3
SAN JUAN NEPOMUCENO,13657,3
SAN MARTÍN DE LOBA,13667,3
SAN PABLO,13670,3
SANTA CATALINA,13673,3
SANTA ROSA,13683,3
SANTA ROSA DEL SUR,13688,3
SIMITÍ,13744,3
SOPLAVIENTO,13760,3
TALAIGUA NUEVO,13780,3
TIQUISIO,13810,3
TURBACO,13836,3
TURBANÁ,13838,3
VILLANUEVA,13873,3
ZAMBRANO,13894,3
TUNJA,15001,4
ALMEIDA,15022,4
AQUITANIA,15047,4
ARCABUCO,15051,4
BELÉN,15087,4
BERBEO,15090,4
BETÉITIVA,15092,4
BOAVITA,15097,4
BOYACÁ,15104,4
BRICEÑO,15106,4
BUENAVISTA,15109,4
BUSBANZÁ,15114,4
CALDAS,15131,4
CAMPOHERMOSO,15135,4
CERINZA,15162,4
CHINAVITA,15172,4
CHIQUINQUIRÁ,15176,4
CHISCAS,15180,4
CHITA,15183,4
CHITARAQUE,15185,4
CHIVATÁ,15187,4
CIENEGA,15189,4
COMBITA,15204,4
COPER,15212,4
CORRALES,15215,4
COVARACHÍA,15218,4
CUBARÁ,15223,4
CUCAITA,15224,4
CUITIIVA,15226,4
CHIQUIZA,15232,4
CHIVOR,15236,4
DUITAMA,15238,4
EL COCUY,15244,4
EL ESPINO,15248,4
FIRAVITOBA,15272,4
FLORESTA,15276,4
GACHANTIVÁ,15293,4
GAMEZA,15296,4
GARAGOA,15299,4
GUACAMAYAS,15317,4
GUATEQUE,15322,4
GUAYATÁ,15325,4
GÜICÁN,15332,4
IZA,15362,4
JENESANO,15367,4
JERICÓ,15368,4
LABRANZAGRANDE,15377,4
LA CAPILLA,15380,4
LA VICTORIA,15401,4
LA UVITA,15403,4
VILLA DE LEYVA,15407,4
MACANAL,15425,4
MARIPÍ,15442,4
MIRAFLORES,15455,4
MONGUA,15464,4
MONGUÍ,15466,4
MONIQUIRÁ,15469,4
MOTAVITA,15476,4
MUZO,15480,4
NOBSA,15491,4
NUEVO COLÓN,15494,4
OICATA,15500,4
OTANCHE,15507,4
PACHAVITA,15511,4
PAEZ,15514,4
PAIPA,15516,4
PAJARITO,15518,4
PANQUEBA,15522,4
PAUNA,15531,4
PAYA,15533,4
PAZ DE RÍO,15537,4
PESCA,15542,4
PISBA,15550,4
PUERTO BOYACÁ,15572,4
QUIPAMA,15580,4
RAMIRIQUÍ,15599,4
RAQUIRA,15600,4
RONDÓN,15621,4
SABOYÁ,15632,4
SACHICA,15638,4
SAMACÁ,15646,4
SAN EDUARDO,15660,4
SAN JOSÉ DE PARE,15664,4
SAN LUIS DE GACENO,15667,4
SAN MATEO,15673,4
SAN MIGUEL DE SEMA,15676,4
SAN PABLO BORBUR,15681,4
SANTANA,15686,4
SANTA MARÍA,15690,4
SANTA ROSA DE VITERBO,15693,4
SANTA SOFÍA,15696,4
SATIVANORTE,15720,4
SATIVASUR,15723,4
SIACHOQUE,15740,4
SOATÁ,15753,4
SOCOTÁ,15755,4
SOCHA,15757,4
SOGAMOSO,15759,4
SOMONDOCO,15761,4
SORA,15762,4
SOTAQUIRÁ,15763,4
SORACÁ,15764,4
SUSACÓN,15774,4
SUTAMARCHÁN,15776,4
SUTATENZA,15778,4
TASCO,15790,4
TENZA,15798,4
TIBANÁ,15804,4
TIBASOSA,15806,4
TINJACÁ,15808,4
TIPACOQUE,15810,4
TOCA,15814,4
TOGÜÍ,15816,4
TOPAGA,15820,4
TOTA,15822,4
TUNUNGUÁ,15832,4
TURMEQUÉ,15835,4
TUTA,15837,4
TUTASÁ,15839,4
UMBITA,15842,4
VENTAQUEMADA,15861,4
VIRACACHÁ,15879,4
ZETAQUIRA,15897,4
